# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 17129595225
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85eff199                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85124d3c                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8546fb9b                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0f923ed                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8600dd5f                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851965ed                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff855006fc                                                                                                          -      -            
     0.08%  frankenredis  libc.so.6         [.] __syscall_cancel                                                                                                            -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85eff199                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a3c2                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff86001805                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8621f917                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff851a0563                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8550050b                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860222e6                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85ef7e83                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0fdcfa3                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff84f23444                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85196614                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85eeb84d                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff86071a23                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff86220589                                                                                                          -      -            
     0.07%  frankenredis  frankenredis      [.] mi_theap_malloc_aligned                                                                                                     -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff8515fe46                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff853f1304                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff8546fda6                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85500751                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f05382                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603d459                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85729263                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0f92477                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e2da                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8584169c                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff862251d0                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8508e843                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85500bd5                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff851a222e                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff851a2b34                                                                                                          -      -            
