# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 5030567402
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                                 
# ........  ............  ................  .......................................................................................................................................................................................................................
#
     8.85%  frankenredis  frankenredis      [.] fr_store::canonical_string_value
            |          
            |--2.92%--<fr_store::Store>::drop_if_expired
            |          
             --2.06%--__memcmp_avx2_movbe

     8.02%  frankenredis  frankenredis      [.] <fr_store::Store>::set_plain_borrowed
            |          
            |--2.42%--<fr_store::Store>::drop_if_expired
            |          
             --2.11%--__memcmp_avx2_movbe

     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603c8d4
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc13da1ff
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850b8f37
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8546fc1f
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8506c795
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86034b0f
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2adfd
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fea756
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84fef5ad
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a2abf
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8546fe41
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850a794a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8604c8b7
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86011137
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85079ada
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2e029
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603acf3
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8600a2d0
     0.08%  frankenredis  [vdso]            [.] 0x0000000000000988
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84f233e9
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86023d00
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8602ef4e
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a3b0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8621f968
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0f928be
     0.08%  frankenredis  [vdso]            [.] 0x0000000000000a0a
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc08175a6
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eefdf7
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86017d43
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85021ab5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86024b23
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a3dd
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85ef6b03
