# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16266256465
#
# Overhead  Command       Shared Object     Symbol
# ........  ............  ................  ......................................................................................................................................................................................................
#
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff85eff199
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffffc0fde32a
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8508821d
     0.11%  fr-writer-0   libc.so.6         [.] __send
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8623a3c0
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f25
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0f92827
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8623a3b0
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8584169c
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84c0012b
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8602751c
     0.11%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::drain_pending_pubsub
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8507e5f6
     0.11%  frankenredis  frankenredis      [.] mi_theap_malloc_aligned
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8519e48d
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8602eb0b
     0.11%  frankenredis  frankenredis      [.] core::ptr::drop_glue::<fr_runtime::ClientSession>
     0.11%  frankenredis  frankenredis      [.] frankenredis::main
     0.11%  frankenredis  [unknown]         [k] 0xffffffff860222e5
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85f0c842
     0.11%  frankenredis  [vdso]            [.] 0x0000000000000997
     0.11%  frankenredis  [unknown]         [k] 0xffffffff855005f6
     0.11%  frankenredis  frankenredis      [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.11%  frankenredis  frankenredis      [.] <fr_protocol::RespFrame>::encode_into
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85eeb849
     0.11%  frankenredis  frankenredis      [.] mi_free
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85ef6e20
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85500910
     0.11%  frankenredis  libc.so.6         [.] epoll_ctl
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85500bd5
     0.11%  frankenredis  [unknown]         [k] 0xffffffff860274f8
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85124af4
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8519f4c5
     0.10%  frankenredis  [vdso]            [.] 0x00000000000009eb
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85124d26
     0.10%  frankenredis  [unknown]         [k] 0xffffffff855008c5
     0.10%  frankenredis  [unknown]         [k] 0xffffffff84c001c4
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8600dd5f
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff850718bc
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8519f584
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85196610
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851a0567
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85f2cb67
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e332
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851965e6
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8602f8fd
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8605972b
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85131a7f
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa95
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8509042b
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86011493
     0.10%  fr-writer-0   libc.so.6         [.] __syscall_cancel_arch_start
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f29
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85083504
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85eefcc7
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8507e712
     0.10%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<u64, fr_runtime::ClientSession>>::insert
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8515fe4b
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85729265
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85f606e0
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86003008
     0.10%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::now
