# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15783509527
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                  
# ........  ............  ................  ........................................................................................................................................................................................................
#
     0.11%  frankenredis  [unknown]         [k] 0xffffffff851a222e
     0.11%  frankenredis  [unknown]         [k] 0xffffffff851a2a2b
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85eeb845
     0.11%  frankenredis  libc.so.6         [.] __syscall_cancel_arch_end
     0.11%  frankenredis  libc.so.6         [.] __syscall_cancel
     0.11%  frankenredis  [unknown]         [k] 0xffffffff851965e6
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffffc0fd73d5
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8623a3b0
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8513cff5
     0.11%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<u64, fr_runtime::ClientSession>>::insert
     0.11%  frankenredis  frankenredis      [.] mi_free
     0.11%  frankenredis  [unknown]         [k] 0xffffffff86022446
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc08551a6
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8572925f
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8603c7fa
     0.11%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85eeb840
     0.11%  frankenredis  [unknown]         [k] 0xffffffff86025c3f
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85124af4
     0.11%  frankenredis  [unknown]         [k] 0xffffffff851a2273
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84f234c3
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e2b0
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8623a3d7
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8623b890
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85eff22b
     0.10%  fr-writer-0   frankenredis      [.] std::sys::backtrace::__rust_begin_short_backtrace::<<frankenredis::WriterPool>::new::{closure#0}, ()>
     0.10%  frankenredis  [vdso]            [.] 0x0000000000000997
     0.10%  frankenredis  [unknown]         [k] 0xffffffff855005fb
     0.10%  frankenredis  [unknown]         [k] 0xffffffff86027285
