# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 16406672694
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     4.66%  frankenredis  [vdso]            [.] 0x0000000000000983                                                                                                          -      -            
            |          
            |--0.80%--<fr_store::Store>::drop_if_expired
            |          
            |--0.57%--__memcmp_avx2_movbe
            |          
             --0.51%--0x7980a6fa9986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate

     0.07%  frankenredis  [unknown]         [k] 0xffffffff86025f9f                                                                                                          -      -            
     0.07%  frankenredis  frankenredis      [.] mi_realloc_aligned                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0e7                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8601149b                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff84c00112                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86001821                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2b70f                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8604ce77                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86229e6b                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85456d9a                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8623b8a0                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff855006f7                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0f928be                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85838ed1                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85137760                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc081760c                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0fd                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8572a63d                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff84f2335d                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff86025f9b                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8602239a                                                                                                          -      -            
     0.06%  frankenredis  [vdso]            [.] __vdso_clock_gettime                                                                                                        -      -            
