# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     0.10%  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                                                                                                                                                               -      -
     0.09%  frankenredis      [.] frankenredis::main                                                                                                                                                                                                                                           -      -
     0.09%  frankenredis      [.] <fr_runtime::ServerState>::propagate_expired_key_deletions                                                                                                                                                                                                   -      -
     0.09%  [unknown]         [k] 0xffffffff84ff0a77                                                                                                                                                                                                                                           -      -
     0.09%  [unknown]         [k] 0xffffffff85079539                                                                                                                                                                                                                                           -      -
     0.09%  [unknown]         [k] 0xffffffffc0fdd24b                                                                                                                                                                                                                                           -      -
     0.09%  [unknown]         [k] 0xffffffff85124bd0                                                                                                                                                                                                                                           -      -
     0.09%  [unknown]         [k] 0xffffffff860259b3                                                                                                                                                                                                                                           -      -
     0.08%  [unknown]         [k] 0xffffffff8510f1e4                                                                                                                                                                                                                                           -      -
     0.08%  frankenredis      [.] <fr_runtime::Runtime>::capture_aof_record                                                                                                                                                                                                                    -      -
     0.08%  [unknown]         [k] 0xffffffff8600a176                                                                                                                                                                                                                                           -      -
     0.08%  [unknown]         [k] 0xffffffff84f240c7                                                                                                                                                                                                                                           -      -
     0.08%  [unknown]         [k] 0xffffffff850680e2                                                                                                                                                                                                                                           -      -
     0.08%  [unknown]         [k] 0xffffffff8602f832                                                                                                                                                                                                                                           -      -
     0.08%  [unknown]         [k] 0xffffffff86044d91                                                                                                                                                                                                                                           -      -
     0.08%  [unknown]         [k] 0xffffffffc0fe8ea4                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                                                                                                                                                               -      -
     0.07%  [unknown]         [k] 0xffffffff8604ab40                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8508937e                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] <fr_runtime::Runtime>::reject_due_to_disk_write_error                                                                                                                                                                                                        -      -
     0.07%  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::sub_timespec                                                                                                                                                                                                          -      -
     0.07%  frankenredis      [.] mi_good_size                                                                                                                                                                                                                                                 -      -
     0.07%  frankenredis      [.] <fr_runtime::Runtime>::execute_plain_set_borrowed                                                                                                                                                                                                            -      -
     0.07%  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server                                                                                                                                                                                               -      -
     0.07%  [unknown]         [k] 0xffffffffc0fed265                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8546fa95                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff85137750                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8513aec9                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8507e5d4                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff850791f1                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff86040239                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8600dcd7                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8508a328                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_write_allows                                                                                                                                                                                               -      -
     0.07%  [unknown]         [k] 0xffffffff860411bf                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff85ef3fa6                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8546fc12                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                                                   -      -
     0.07%  [unknown]         [k] 0xffffffff8532641b                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff850896c3                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff860257ed                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffffc0feb0e2                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8517f7fb                                                                                                                                                                                                                                           -      -
