pass194 candidate2_vs_baseline_ping_adjacent_p16_c50_n800k P16/C50 n800k reps5
base=/data/projects/.scratch/frankenredis-pass194-target/release-perf/frankenredis
candidate2=/data/projects/.scratch/frankenredis-pass194-candidate2-target/release-perf/frankenredis

## baseline rep 1
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=817408.0 (overall: 814151.4) avg_msec=0.819 (overall: 0.819)
                                                                              
PING_INLINE: rps=847490.1 (overall: 830820.8) avg_msec=0.815 (overall: 0.817)
                                                                              
PING_INLINE: rps=903872.0 (overall: 855106.4) avg_msec=0.859 (overall: 0.832)
                                                                              
PING_INLINE: 850159.44 requests per second, p50=0.839 msec
 
PING_MBULK: rps=244736.0 (overall: 1037016.9) avg_msec=0.425 (overall: 0.425)
                                                                              
PING_MBULK: rps=1070597.6 (overall: 1064206.5) avg_msec=0.408 (overall: 0.411)
                                                                               
PING_MBULK: rps=1055104.0 (overall: 1060142.9) avg_msec=0.407 (overall: 0.409)
                                                                               
PING_MBULK: 1065246.38 requests per second, p50=0.367 msec
 
GET: rps=240192.0 (overall: 1053473.6) avg_msec=0.400 (overall: 0.400)
                                                                       
GET: rps=1001243.1 (overall: 1010909.1) avg_msec=0.427 (overall: 0.422)
                                                                        
GET: rps=1036032.0 (overall: 1022164.8) avg_msec=0.405 (overall: 0.414)
                                                                        
GET: rps=888733.1 (overall: 980766.4) avg_msec=0.522 (overall: 0.445)
                                                                      
GET: 981595.12 requests per second, p50=0.383 msec


## baseline rep 4
 
PING_INLINE: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                                   
PING_INLINE: rps=816256.0 (overall: 816256.0) avg_msec=0.875 (overall: 0.875)
                                                                              
PING_INLINE: rps=816765.0 (overall: 816511.0) avg_msec=0.851 (overall: 0.863)
                                                                              
PING_INLINE: rps=811712.0 (overall: 814913.4) avg_msec=0.907 (overall: 0.878)
                                                                              
PING_INLINE: 817995.94 requests per second, p50=0.847 msec
 
PING_MBULK: rps=89792.0 (overall: 1068952.4) avg_msec=0.417 (overall: 0.417)
                                                                             
PING_MBULK: rps=1118533.9 (overall: 1114705.9) avg_msec=0.375 (overall: 0.378)
                                                                               
PING_MBULK: rps=1100352.0 (overall: 1107831.4) avg_msec=0.387 (overall: 0.382)
                                                                               
PING_MBULK: 1112656.50 requests per second, p50=0.367 msec
 
GET: rps=208064.0 (overall: 1019921.6) avg_msec=0.426 (overall: 0.426)
                                                                       
GET: rps=961020.0 (overall: 970966.9) avg_msec=0.450 (overall: 0.446)
                                                                      
GET: rps=958208.0 (overall: 965188.4) avg_msec=0.448 (overall: 0.447)
                                                                      
GET: rps=852352.0 (overall: 930015.0) avg_msec=0.541 (overall: 0.474)
                                                                      
GET: 936768.19 requests per second, p50=0.407 msec


## baseline rep 5
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=860032.0 (overall: 856605.6) avg_msec=0.838 (overall: 0.838)
                                                                              
PING_INLINE: rps=701632.0 (overall: 779273.5) avg_msec=1.017 (overall: 0.918)
                                                                              
PING_INLINE: rps=764032.0 (overall: 774199.8) avg_msec=0.943 (overall: 0.926)
                                                                              
PING_INLINE: rps=783745.1 (overall: 776590.8) avg_msec=0.878 (overall: 0.914)
                                                                              
PING_INLINE: 772946.88 requests per second, p50=0.847 msec
 
PING_MBULK: rps=781768.9 (overall: 912669.8) avg_msec=0.478 (overall: 0.478)
                                                                             
PING_MBULK: rps=982400.0 (overall: 950159.1) avg_msec=0.440 (overall: 0.457)
                                                                             
PING_MBULK: rps=1094208.0 (overall: 1000525.9) avg_msec=0.388 (overall: 0.430)
                                                                               
PING_MBULK: 1007556.62 requests per second, p50=0.375 msec
