pass194 candidate2_vs_baseline_ping_adjacent_p16_c50_n800k_reversed P16/C50 n800k reps5
base=/data/projects/.scratch/frankenredis-pass194-target/release-perf/frankenredis
candidate2=/data/projects/.scratch/frankenredis-pass194-candidate2-target/release-perf/frankenredis

## candidate rep 1
 
                                                                              
PING_MBULK: rps=1103745.1 (overall: 1101107.5) avg_msec=0.372 (overall: 0.375)
                                                                               
PING_MBULK: rps=1035328.0 (overall: 1077170.4) avg_msec=0.409 (overall: 0.387)
                                                                               
PING_MBULK: 1076716.00 requests per second, p50=0.367 msec
 
GET: rps=795456.0 (overall: 1035750.0) avg_msec=0.407 (overall: 0.407)
                                                                       
GET: rps=978039.9 (overall: 1003051.9) avg_msec=0.437 (overall: 0.424)
                                                                       
GET: rps=1018432.0 (overall: 1008600.2) avg_msec=0.419 (overall: 0.422)
                                                                        
GET: 1002506.31 requests per second, p50=0.383 msec


## baseline rep 1
