pass194 candidate vs baseline P16/C50 n800k reps5
base=/data/projects/.scratch/frankenredis-pass194-target/release-perf/frankenredis
candidate=/data/projects/.scratch/frankenredis-pass194-candidate-target/release-perf/frankenredis

## baseline rep 1
 
                                                                              
PING_INLINE: rps=591680.0 (overall: 628279.4) avg_msec=1.255 (overall: 1.146)
                                                                              
PING_INLINE: rps=599521.9 (overall: 618680.9) avg_msec=1.178 (overall: 1.156)
                                                                              
PING_INLINE: rps=556736.0 (overall: 603225.6) avg_msec=1.261 (overall: 1.180)
                                                                              
PING_INLINE: rps=648448.0 (overall: 612255.6) avg_msec=1.198 (overall: 1.184)
                                                                              
PING_INLINE: 612557.44 requests per second, p50=1.063 msec
 
PING_MBULK: rps=719496.1 (overall: 927675.1) avg_msec=0.544 (overall: 0.544)
                                                                             
PING_MBULK: rps=673025.1 (overall: 763251.8) avg_msec=0.733 (overall: 0.651)
                                                                             
PING_MBULK: rps=981952.0 (overall: 831086.9) avg_msec=0.467 (overall: 0.584)
                                                                             
PING_MBULK: 854700.88 requests per second, p50=0.447 msec
