# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 14060755418
#
# Overhead  Command       Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ............  ....................  .................................................................................................................................................................................................................................................................................................................................................................................
#
     0.09%  frankenredis  [unknown]             [k] 0xffffffff850868f9
     0.09%  frankenredis  [unknown]             [k] 0xffffffff86036f8e
     0.09%  frankenredis  [unknown]             [k] 0xffffffff851a0567
     0.09%  frankenredis  libc.so.6             [.] epoll_wait
     0.09%  frankenredis  [unknown]             [k] 0xffffffffc0f92551
     0.09%  frankenredis  [unknown]             [k] 0xffffffff850c2f50
     0.09%  frankenredis  [unknown]             [k] 0xffffffff860425fb
     0.09%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::feed_monitors
     0.09%  frankenredis  frankenredis          [.] core::ptr::drop_glue::<fr_runtime::ClientSession>
     0.09%  frankenredis  [unknown]             [k] 0xffffffff8621f960
     0.09%  frankenredis  [unknown]             [k] 0xffffffff86026096
     0.08%  frankenredis  frankenredis          [.] frankenredis::record_deferred_buffered_token
     0.08%  frankenredis  [unknown]             [k] 0xffffffff86054a35
     0.08%  frankenredis  [unknown]             [k] 0xffffffff850c2f55
     0.08%  frankenredis  [unknown]             [k] 0xffffffff851318c0
     0.08%  frankenredis  [unknown]             [k] 0xffffffff8602751c
     0.08%  frankenredis  [unknown]             [k] 0xffffffff8507e4c6
     0.08%  frankenredis  [unknown]             [k] 0xffffffff8512413d
     0.08%  frankenredis  [unknown]             [k] 0xffffffff86054471
     0.08%  frankenredis  frankenredis          [.] <fr_runtime::ServerState>::record_command_histogram_outcome
     0.08%  frankenredis  frankenredis          [.] <fr_store::Store>::record_slowlog_with_client
     0.08%  frankenredis  [unknown]             [k] 0xffffffff85eeb840
     0.08%  frankenredis  [unknown]             [k] 0xffffffffc0fde3e6
     0.08%  frankenredis  [unknown]             [k] 0xffffffff85021724
     0.08%  frankenredis  [unknown]             [k] 0xffffffff856a2147
     0.08%  frankenredis  [unknown]             [k] 0xffffffff850874dd
     0.08%  frankenredis  [unknown]             [k] 0xffffffff8507cfee
     0.08%  frankenredis  [unknown]             [k] 0xffffffff8602fac7
     0.08%  frankenredis  [unknown]             [k] 0xffffffffc0f9261c
