# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'instructions:u'
# Event count (approx.): 10922400969
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          
# ........  ............  ................  ................................................................................................................................
#
     0.12%  frankenredis  frankenredis      [.] frankenredis::parse_borrowed_plain_pexpire_packet
     0.12%  frankenredis  frankenredis      [.] frankenredis::parse_borrowed_plain_set_absexpire_packet
     0.11%  frankenredis  [unknown]         [k] 0xffffffffb08efae3
     0.11%  frankenredis  frankenredis      [.] frankenredis::parse_borrowed_plain_expire_packet
     0.11%  frankenredis  [unknown]         [k] 0xffffffffb0a0321a


#
# (Cannot load tips.txt file, please install perf!)
#
